"Comments","Clinical Code",,,,"Sensitivity Code",,,,"Confidentiality Code",,,
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","18415-0","Psilocin [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","18414-3","Psilocin [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","17751-9","Tryptamine [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","17505-9","Psilocybin/Psilocin [Mass Ratio] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","17504-2","Psilocybin [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","16214-9","Lysergate diethylamide [Presence] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","16146-3","Psilocin [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","16145-5","Mescaline [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","12433-9","Bufotenine [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","12296-0","Mescaline [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","12295-2","Hallucinogens [Identifier] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","12292-9","Dimethyltryptamine [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP99257-5","Oxycodone+Oxymorphone | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP99251-8","Oxycodone+Oxymorphone","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP99229-4","Tapentadol | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP99227-8","Meperidine+Normeperidine | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP99226-0","Fentanyl+Norfentanyl | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP99218-7","Tapentadol","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP99216-1","Fentanyl+Norfentanyl","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP97410-2","Codeine | Saliva","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP97406-0","6-Monoacetylmorphine | Saliva","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP69828-9","Dihydrocodeine Free+Hydrocodol Free | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP69790-1","Dihydrocodeine Free+Hydrocodol Free | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP69785-1","Methadone+metabolite | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP69751-3","Methadone+metabolite | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP69721-6","Buprenorphine+Norbuprenorphine | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP69618-4","Dihydrocodeine+hydrocodeinone | Stool","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP69611-9","Dihydrocodeine+hydrocodeinone | Meconium","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP69363-7","Propoxyphene+acetaminophen | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP67150-0","Meperidine+Normeperidine | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP66955-3","Meperidine+Normeperidine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP66670-8","Codeine Free | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP66669-0","Hydrocodone Free | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP66372-1","Dihydrocodeine+hydrocodol | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP64885-4","Normorphine | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP64884-7","Norcodeine | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP64883-9","Norcodeine | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP64857-3","Norcodeine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP63572-9","Norpropoxyphene | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP63009-2","Morphine-3-glucuronide | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP62452-5","Morphine-6-glucuronide | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP57465-4","6-monoacetylmorphine Free | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP57120-5","Oxymorphone Free | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP57119-7","Oxycodone Free | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP57118-9","Hydromorphone Free | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP55150-4","Nalbuphine | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP55136-3","Propoxyphene | Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP55021-7","Morphine | Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP54999-5","Sufentanil | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP54970-6","Butorphanol | Body Fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP54821-1","Opiates | Unknown substance","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP54818-7","Opiates | Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP53508-5","Oxymorphone Free | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP53507-7","Dihydrocodeine+hydrocodol | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP52861-9","Propoxyphene | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP52507-8","Naloxone | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP52339-6","2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine (EDDP) | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP52338-8","2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine (EDDP) | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP52337-0","2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine (EDDP) | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP52057-4","Opiates | Saliva","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP52038-4","Trimeperidine | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP52008-7","Hydrocodone | Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP52006-1","Codeine | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51894-1","Morphine | Hair","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51891-7","Hydromorphone | Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51750-5","Opiates | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51526-9","Nicomorphine | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51491-6","Nalorphine | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51307-4","Levorphanol | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51287-8","Hydromorphone | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51286-0","Hydrocodone | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51204-3","Dipipanone | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51145-8","Meperidine | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP51027-8","Dextromoramide | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP50718-3","Methadone.R | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP50660-7","Opiates | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP50446-1","Anileridine | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP50444-6","Anileridine | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP50429-7","Methadone.long Acting Metabolite | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP50287-9","Alphaprodine | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP50286-1","Alfentanil | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49866-4","Oxycodone | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49865-6","Morphine | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49863-1","6-monoacetylmorphine | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49856-5","Meperidine | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49849-0","Hydromorphone | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49848-2","Hydrocodone | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49728-6","Alphaprodine | Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49594-2","Narcotics and opioids | Bile fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49592-6","Morphine Free | Bile fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49590-0","Methadone | Bile fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49116-4","Methadone | XXX","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49090-1","Norpropoxyphene | Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49084-4","Narcotics and opioids | Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49083-6","Narcotics and opioids | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49079-4","Fentanyl | Bld-Ser-Plas","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49075-2","6-monoacetylmorphine | Meconium","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","LP49069-5","Morphine Free | Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
